id,title,artist,genre,mood,energy,tempo_bpm,valence,danceability,acousticness
311,Morning Tide 311,Urban Atlas,electropop,happy,0.83,140,0.89,0.90,0.10
312,Southern Letters 312,Lunar Bloom,hip hop,confident,0.73,92,0.69,0.85,0.19
313,Bright Voyage 313,Lunar Signal,r&b,romantic,0.59,88,0.77,0.74,0.40
314,Silent Signal 314,Lunar Wire,country,happy,0.54,100,0.79,0.58,0.71
315,Paper Tide 315,Solar Transit,reggaeton,euphoric,0.89,90,0.77,0.89,0.10
316,Crimson Letters 316,Solar Frame,pop,playful,0.85,120,0.83,0.84,0.19
317,Sapphire Voyage 317,Solar Cloud,indie pop,nostalgic,0.76,114,0.77,0.75,0.32
318,Afterglow Signal 318,North Avenue,lofi,chill,0.43,78,0.59,0.58,0.87
319,Echoing Tide 319,North Lanterns,ambient,peaceful,0.23,64,0.64,0.41,0.97
320,Neon Letters 320,South Echo,rock,confident,0.85,150,0.57,0.65,0.07
321,Rapid Voyage 321,South Stereo,metal,intense,0.92,172,0.32,0.53,0.02
322,Cosmic Signal 322,South Quill,classical,focused,0.22,74,0.55,0.19,0.94
323,Electric Tide 323,East Pulse,jazz,romantic,0.45,106,0.73,0.54,0.75
324,Midnight Letters 324,East Circuit,folk,peaceful,0.43,104,0.67,0.47,0.87
325,Northern Voyage 325,East Orchid,synthwave,moody,0.76,100,0.49,0.74,0.20
326,Hollow Signal 326,West Parade,electropop,euphoric,0.87,118,0.86,0.91,0.15
327,Golden Tide 327,West Collective,hip hop,focused,0.77,96,0.66,0.86,0.24
328,Velvet Letters 328,West Harbor,r&b,happy,0.63,92,0.74,0.75,0.45
329,Urban Voyage 329,Paper District,country,peaceful,0.58,104,0.76,0.52,0.76
330,Lunar Signal 330,Paper Ensemble,reggaeton,playful,0.82,94,0.83,0.90,0.05
331,Morning Tide 331,Paper Atlas,pop,happy,0.78,124,0.89,0.85,0.14
332,Southern Letters 332,Glass Bloom,indie pop,romantic,0.69,118,0.83,0.76,0.27
333,Bright Voyage 333,Glass Signal,lofi,focused,0.36,82,0.56,0.59,0.82
334,Silent Signal 334,Glass Wire,ambient,chill,0.27,68,0.61,0.42,0.92
335,Paper Tide 335,Quiet Transit,rock,moody,0.89,154,0.54,0.66,0.12
336,Crimson Letters 336,Quiet Frame,metal,angry,0.96,176,0.29,0.47,0.07
337,Sapphire Voyage 337,Quiet Cloud,classical,peaceful,0.26,78,0.52,0.20,0.98
338,Afterglow Signal 338,Rapid Avenue,jazz,moody,0.49,84,0.70,0.55,0.80
339,Echoing Tide 339,Rapid Lanterns,folk,romantic,0.47,82,0.73,0.48,0.92
340,Neon Letters 340,Delta Echo,synthwave,focused,0.80,104,0.55,0.75,0.15
341,Rapid Voyage 341,Delta Stereo,electropop,happy,0.80,122,0.92,0.92,0.10
342,Cosmic Signal 342,Delta Quill,hip hop,confident,0.70,100,0.63,0.87,0.19
343,Electric Tide 343,Neon Pulse,r&b,romantic,0.56,96,0.71,0.69,0.40
344,Midnight Letters 344,Neon Circuit,country,happy,0.51,108,0.73,0.53,0.71
345,Northern Voyage 345,Neon Orchid,reggaeton,euphoric,0.86,98,0.80,0.91,0.10
346,Hollow Signal 346,Silver Parade,pop,playful,0.82,128,0.86,0.86,0.19
347,Golden Tide 347,Silver Collective,indie pop,nostalgic,0.73,122,0.80,0.77,0.32
348,Velvet Letters 348,Silver Harbor,lofi,chill,0.40,86,0.62,0.60,0.87
349,Urban Voyage 349,Golden District,ambient,peaceful,0.31,72,0.67,0.43,0.97
350,Lunar Signal 350,Golden Ensemble,rock,confident,0.93,158,0.60,0.60,0.07
351,Morning Tide 351,Golden Atlas,metal,intense,0.99,154,0.26,0.48,0.02
352,Southern Letters 352,Blue Bloom,classical,focused,0.19,56,0.49,0.21,0.94
353,Bright Voyage 353,Blue Signal,jazz,romantic,0.42,88,0.67,0.56,0.75
354,Silent Signal 354,Blue Wire,folk,peaceful,0.40,86,0.70,0.49,0.87
355,Paper Tide 355,Midnight Transit,synthwave,moody,0.73,108,0.52,0.76,0.20
356,Crimson Letters 356,Midnight Frame,electropop,euphoric,0.84,126,0.89,0.93,0.15
357,Sapphire Voyage 357,Midnight Cloud,hip hop,focused,0.74,104,0.69,0.81,0.24
358,Afterglow Signal 358,Crimson Avenue,r&b,happy,0.60,100,0.77,0.70,0.45
359,Echoing Tide 359,Crimson Lanterns,country,peaceful,0.55,112,0.79,0.54,0.76
360,Neon Letters 360,Velvet Echo,reggaeton,playful,0.90,102,0.77,0.92,0.05
361,Rapid Voyage 361,Velvet Stereo,pop,happy,0.86,132,0.83,0.87,0.14
362,Cosmic Signal 362,Velvet Quill,indie pop,romantic,0.77,126,0.77,0.78,0.27
363,Electric Tide 363,Electric Pulse,lofi,focused,0.33,90,0.59,0.61,0.82
364,Midnight Letters 364,Electric Circuit,ambient,chill,0.24,50,0.64,0.37,0.92
365,Northern Voyage 365,Electric Orchid,rock,moody,0.86,136,0.57,0.61,0.12
366,Hollow Signal 366,Urban Parade,metal,angry,0.93,158,0.32,0.49,0.07
367,Golden Tide 367,Urban Collective,classical,peaceful,0.23,60,0.55,0.22,0.98
368,Velvet Letters 368,Urban Harbor,jazz,moody,0.46,92,0.73,0.57,0.80
369,Urban Voyage 369,Lunar District,folk,romantic,0.44,90,0.67,0.50,0.92
370,Lunar Signal 370,Lunar Ensemble,synthwave,focused,0.77,112,0.49,0.77,0.15
371,Morning Tide 371,Lunar Atlas,electropop,happy,0.88,130,0.86,0.87,0.10
372,Southern Letters 372,Solar Bloom,hip hop,confident,0.78,108,0.66,0.82,0.19
373,Bright Voyage 373,Solar Signal,r&b,romantic,0.64,104,0.74,0.71,0.40
374,Silent Signal 374,Solar Wire,country,happy,0.48,116,0.76,0.55,0.71
375,Paper Tide 375,North Transit,reggaeton,euphoric,0.83,106,0.83,0.93,0.10
376,Crimson Letters 376,North Frame,pop,playful,0.79,136,0.89,0.88,0.19
377,Sapphire Voyage 377,North Cloud,indie pop,nostalgic,0.70,104,0.83,0.79,0.32
378,Afterglow Signal 378,South Avenue,lofi,chill,0.37,68,0.56,0.55,0.87
379,Echoing Tide 379,South Lanterns,ambient,peaceful,0.28,54,0.61,0.38,0.97
380,Neon Letters 380,East Echo,rock,confident,0.90,140,0.54,0.62,0.07
381,Rapid Voyage 381,East Stereo,metal,intense,0.97,162,0.29,0.50,0.02
382,Cosmic Signal 382,East Quill,classical,focused,0.27,64,0.52,0.23,0.94
383,Electric Tide 383,West Pulse,jazz,romantic,0.50,96,0.70,0.58,0.75
384,Midnight Letters 384,West Circuit,folk,peaceful,0.48,94,0.73,0.51,0.87
385,Northern Voyage 385,West Orchid,synthwave,moody,0.70,116,0.55,0.71,0.20
386,Hollow Signal 386,Paper Parade,electropop,euphoric,0.81,134,0.92,0.88,0.15
387,Golden Tide 387,Paper Collective,hip hop,focused,0.71,112,0.63,0.83,0.24
388,Velvet Letters 388,Paper Harbor,r&b,happy,0.57,108,0.71,0.72,0.45
389,Urban Voyage 389,Glass District,country,peaceful,0.52,120,0.73,0.56,0.76
390,Lunar Signal 390,Glass Ensemble,reggaeton,playful,0.87,84,0.80,0.94,0.05
391,Morning Tide 391,Glass Atlas,pop,happy,0.83,114,0.86,0.89,0.14
392,Southern Letters 392,Quiet Bloom,indie pop,romantic,0.74,108,0.80,0.73,0.27
393,Bright Voyage 393,Quiet Signal,lofi,focused,0.41,72,0.62,0.56,0.82
394,Silent Signal 394,Quiet Wire,ambient,chill,0.32,58,0.67,0.39,0.92
395,Paper Tide 395,Rapid Transit,rock,moody,0.94,144,0.60,0.63,0.12
396,Crimson Letters 396,Rapid Frame,metal,angry,0.90,166,0.26,0.51,0.07
397,Sapphire Voyage 397,Rapid Cloud,classical,peaceful,0.20,68,0.49,0.24,0.98
398,Afterglow Signal 398,Delta Avenue,jazz,moody,0.43,100,0.67,0.59,0.80
399,Echoing Tide 399,Delta Lanterns,folk,romantic,0.41,98,0.70,0.45,0.92
400,Neon Letters 400,Neon Echo,synthwave,focused,0.74,120,0.52,0.72,0.15
401,Rapid Voyage 401,Neon Stereo,electropop,happy,0.85,138,0.89,0.89,0.10
402,Cosmic Signal 402,Neon Quill,hip hop,confident,0.75,116,0.69,0.84,0.19
403,Electric Tide 403,Silver Pulse,r&b,romantic,0.61,86,0.77,0.73,0.40
404,Midnight Letters 404,Silver Circuit,country,happy,0.56,98,0.79,0.57,0.71
405,Northern Voyage 405,Silver Orchid,reggaeton,euphoric,0.91,88,0.77,0.95,0.10
406,Hollow Signal 406,Golden Parade,pop,playful,0.87,118,0.83,0.83,0.19
407,Golden Tide 407,Golden Collective,indie pop,nostalgic,0.67,112,0.77,0.74,0.32
408,Velvet Letters 408,Golden Harbor,lofi,chill,0.34,76,0.59,0.57,0.87
409,Urban Voyage 409,Blue District,ambient,peaceful,0.25,62,0.64,0.40,0.97
410,Lunar Signal 410,Blue Ensemble,rock,confident,0.87,148,0.57,0.64,0.07
411,Morning Tide 411,Blue Atlas,metal,intense,0.94,170,0.32,0.52,0.02
412,Southern Letters 412,Midnight Bloom,classical,focused,0.24,72,0.55,0.25,0.94
413,Bright Voyage 413,Midnight Signal,jazz,romantic,0.47,104,0.73,0.53,0.75
414,Silent Signal 414,Midnight Wire,folk,peaceful,0.45,102,0.67,0.46,0.87
415,Paper Tide 415,Crimson Transit,synthwave,moody,0.78,124,0.49,0.73,0.20
416,Crimson Letters 416,Crimson Frame,electropop,euphoric,0.89,116,0.86,0.90,0.15
417,Sapphire Voyage 417,Crimson Cloud,hip hop,focused,0.79,94,0.66,0.85,0.24
418,Afterglow Signal 418,Velvet Avenue,r&b,happy,0.54,90,0.74,0.74,0.45
419,Echoing Tide 419,Velvet Lanterns,country,peaceful,0.49,102,0.76,0.58,0.76
420,Neon Letters 420,Electric Echo,reggaeton,playful,0.84,92,0.83,0.89,0.05
421,Rapid Voyage 421,Electric Stereo,pop,happy,0.80,122,0.89,0.84,0.14
422,Cosmic Signal 422,Electric Quill,indie pop,romantic,0.71,116,0.83,0.75,0.27
423,Electric Tide 423,Urban Pulse,lofi,focused,0.38,80,0.56,0.58,0.82
424,Midnight Letters 424,Urban Circuit,ambient,chill,0.29,66,0.61,0.41,0.92
425,Northern Voyage 425,Urban Orchid,rock,moody,0.91,152,0.54,0.65,0.12
426,Hollow Signal 426,Lunar Parade,metal,angry,0.98,174,0.29,0.53,0.07
427,Golden Tide 427,Lunar Collective,classical,peaceful,0.28,76,0.52,0.19,0.98
428,Velvet Letters 428,Lunar Harbor,jazz,moody,0.51,108,0.70,0.54,0.80
429,Urban Voyage 429,Solar District,folk,romantic,0.38,80,0.73,0.47,0.92
430,Lunar Signal 430,Solar Ensemble,synthwave,focused,0.71,102,0.55,0.74,0.15
431,Morning Tide 431,Solar Atlas,electropop,happy,0.82,120,0.92,0.91,0.10
432,Southern Letters 432,North Bloom,hip hop,confident,0.72,98,0.63,0.86,0.19
433,Bright Voyage 433,North Signal,r&b,romantic,0.58,94,0.71,0.75,0.40
434,Silent Signal 434,North Wire,country,happy,0.53,106,0.73,0.52,0.71
435,Paper Tide 435,South Transit,reggaeton,euphoric,0.88,96,0.80,0.90,0.10
436,Crimson Letters 436,South Frame,pop,playful,0.84,126,0.86,0.85,0.19
437,Sapphire Voyage 437,South Cloud,indie pop,nostalgic,0.75,120,0.80,0.76,0.32
438,Afterglow Signal 438,East Avenue,lofi,chill,0.42,84,0.62,0.59,0.87
439,Echoing Tide 439,East Lanterns,ambient,peaceful,0.33,70,0.67,0.42,0.97
440,Neon Letters 440,West Echo,rock,confident,0.84,156,0.60,0.66,0.07
441,Rapid Voyage 441,West Stereo,metal,intense,0.91,178,0.26,0.47,0.02
442,Cosmic Signal 442,West Quill,classical,focused,0.21,54,0.49,0.20,0.94
443,Electric Tide 443,Paper Pulse,jazz,romantic,0.44,86,0.67,0.55,0.75
444,Midnight Letters 444,Paper Circuit,folk,peaceful,0.42,84,0.70,0.48,0.87
445,Northern Voyage 445,Paper Orchid,synthwave,moody,0.75,106,0.52,0.75,0.20
446,Hollow Signal 446,Glass Parade,electropop,euphoric,0.86,124,0.89,0.92,0.15
447,Golden Tide 447,Glass Collective,hip hop,focused,0.76,102,0.69,0.87,0.24
448,Velvet Letters 448,Glass Harbor,r&b,happy,0.62,98,0.77,0.69,0.45
449,Urban Voyage 449,Quiet District,country,peaceful,0.57,110,0.79,0.53,0.76
450,Lunar Signal 450,Quiet Ensemble,reggaeton,playful,0.92,100,0.77,0.91,0.05
451,Morning Tide 451,Quiet Atlas,pop,happy,0.77,130,0.83,0.86,0.14
452,Southern Letters 452,Rapid Bloom,indie pop,romantic,0.68,124,0.77,0.77,0.27
453,Bright Voyage 453,Rapid Signal,lofi,focused,0.35,88,0.59,0.60,0.82
454,Silent Signal 454,Rapid Wire,ambient,chill,0.26,74,0.64,0.43,0.92
455,Paper Tide 455,Delta Transit,rock,moody,0.88,134,0.57,0.60,0.12
456,Crimson Letters 456,Delta Frame,metal,angry,0.95,156,0.32,0.48,0.07
457,Sapphire Voyage 457,Delta Cloud,classical,peaceful,0.25,58,0.55,0.21,0.98
458,Afterglow Signal 458,Neon Avenue,jazz,moody,0.48,90,0.73,0.56,0.80
459,Echoing Tide 459,Neon Lanterns,folk,romantic,0.46,88,0.67,0.49,0.92
460,Neon Letters 460,Silver Echo,synthwave,focused,0.79,110,0.49,0.76,0.15
461,Rapid Voyage 461,Silver Stereo,electropop,happy,0.90,128,0.86,0.93,0.10
462,Cosmic Signal 462,Silver Quill,hip hop,confident,0.69,106,0.66,0.81,0.19
463,Electric Tide 463,Golden Pulse,r&b,romantic,0.55,102,0.74,0.70,0.40
464,Midnight Letters 464,Golden Circuit,country,happy,0.50,114,0.76,0.54,0.71
465,Northern Voyage 465,Golden Orchid,reggaeton,euphoric,0.85,104,0.83,0.92,0.10
466,Hollow Signal 466,Blue Parade,pop,playful,0.81,134,0.89,0.87,0.19
467,Golden Tide 467,Blue Collective,indie pop,nostalgic,0.72,128,0.83,0.78,0.32
468,Velvet Letters 468,Blue Harbor,lofi,chill,0.39,66,0.56,0.61,0.87
469,Urban Voyage 469,Midnight District,ambient,peaceful,0.30,52,0.61,0.37,0.97
470,Lunar Signal 470,Midnight Ensemble,rock,confident,0.92,138,0.54,0.61,0.07
471,Morning Tide 471,Midnight Atlas,metal,intense,0.99,160,0.29,0.49,0.02
472,Southern Letters 472,Crimson Bloom,classical,focused,0.29,62,0.52,0.22,0.94
473,Bright Voyage 473,Crimson Signal,jazz,romantic,0.41,94,0.70,0.57,0.75
474,Silent Signal 474,Crimson Wire,folk,peaceful,0.39,92,0.73,0.50,0.87
475,Paper Tide 475,Velvet Transit,synthwave,moody,0.72,114,0.55,0.77,0.20
476,Crimson Letters 476,Velvet Frame,electropop,euphoric,0.83,132,0.92,0.87,0.15
477,Sapphire Voyage 477,Velvet Cloud,hip hop,focused,0.73,110,0.63,0.82,0.24
478,Afterglow Signal 478,Electric Avenue,r&b,happy,0.59,106,0.71,0.71,0.45
479,Echoing Tide 479,Electric Lanterns,country,peaceful,0.54,118,0.73,0.55,0.76
480,Neon Letters 480,Urban Echo,reggaeton,playful,0.89,108,0.80,0.93,0.05
481,Rapid Voyage 481,Urban Stereo,pop,happy,0.85,112,0.86,0.88,0.14
482,Cosmic Signal 482,Urban Quill,indie pop,romantic,0.76,106,0.80,0.79,0.27
483,Electric Tide 483,Lunar Pulse,lofi,focused,0.43,70,0.62,0.55,0.82
484,Midnight Letters 484,Lunar Circuit,ambient,chill,0.23,56,0.67,0.38,0.92
485,Northern Voyage 485,Lunar Orchid,rock,moody,0.85,142,0.60,0.62,0.12
486,Hollow Signal 486,Solar Parade,metal,angry,0.92,164,0.26,0.50,0.07
487,Golden Tide 487,Solar Collective,classical,peaceful,0.22,66,0.49,0.23,0.98
488,Velvet Letters 488,Solar Harbor,jazz,moody,0.45,98,0.67,0.58,0.80
489,Urban Voyage 489,North District,folk,romantic,0.43,96,0.70,0.51,0.92
490,Lunar Signal 490,North Ensemble,synthwave,focused,0.76,118,0.52,0.71,0.15
491,Morning Tide 491,North Atlas,electropop,happy,0.87,136,0.89,0.88,0.10
492,Southern Letters 492,South Bloom,hip hop,confident,0.77,114,0.69,0.83,0.19
493,Bright Voyage 493,South Signal,r&b,romantic,0.63,110,0.77,0.72,0.40
494,Silent Signal 494,South Wire,country,happy,0.58,96,0.79,0.56,0.71
495,Paper Tide 495,East Transit,reggaeton,euphoric,0.82,86,0.77,0.94,0.10
496,Crimson Letters 496,East Frame,pop,playful,0.78,116,0.83,0.89,0.19
497,Sapphire Voyage 497,East Cloud,indie pop,nostalgic,0.69,110,0.77,0.73,0.32
498,Afterglow Signal 498,West Avenue,lofi,chill,0.36,74,0.59,0.56,0.87
499,Echoing Tide 499,West Lanterns,ambient,peaceful,0.27,60,0.64,0.39,0.97
500,Neon Letters 500,Paper Echo,rock,confident,0.89,146,0.57,0.63,0.07
